,id,cat
2,59263,
7,26960,
11,48123,
13,47957,
18,51832,
19,47359,
26,48311,
28,56019,
29,21977,
34,59051,
35,20099,
36,58183,
37,29742,
38,51658,
39,3954,
41,2886,
43,28690,
49,38402,
50,44984,
52,45856,
56,38630,
60,59607,
63,42841,
66,43993,
70,35913,
73,2288,
76,54118,
77,2872,
78,49653,Top
79,8574,
85,48781,
87,56489,
90,58513,Top
91,25947,
94,39716,Dress
97,55802,
99,43967,
100,28456,Skirt
112,11518,
113,14856,
117,27846,
118,26994,
119,49839,
120,31923,
121,2618,
122,54588,
123,49005,
133,36934,
134,39140,
135,20851,
137,58177,
140,51455,
143,47530,
149,43190,
151,30462,
153,54127,
161,59638,
163,4140,
169,11385,
170,53130,
171,44187,
172,21510,
175,35322,
179,17072,
180,31782,Top
185,56026,
186,21948,
187,32563,
188,58980,
191,24406,
193,21174,Top
194,15341,
195,52486,
198,47366,
202,9835,
204,7193,
206,27283,
208,9009,
210,42614,
211,12164,
212,26351,
216,46086,
217,51031,
220,55491,
222,3701,
224,42426,
226,56214,
227,10401,Top
228,40371,
232,37223,Top
235,32597,Top
237,33445,
238,57100,Top
239,36137,
243,52472,
245,20052,
246,5630,
248,47392,
249,50325,
254,46240,
255,27277,
256,13042,
257,6889,
258,31312,
260,55657,
261,19578,Top
262,27879,Top
263,34452,
268,28831,
270,2627,
271,27045,
272,13270,Top
274,55465,
280,40385,Top
282,5402,
283,44725,
289,28469,
292,55001,
294,3391,
297,30496,
298,27421,
299,57756,
300,33213,Top
301,39729,Top
304,56684,
305,4988,Dress
307,14431,
308,20604,
309,52224,
310,45293,
312,33021,
313,25144,
315,41401,Top
317,37481,
319,44173,
320,25978,
330,17086,
332,55233,
334,43356,
338,46278,
345,39147,
346,36933,
347,57138,
351,58170,
354,39375,
355,14851,
362,31924,
363,26993,
365,43538,Top
372,14409,
377,51499,
378,29583,
379,55805,
380,7709,
381,28451,
384,55039,
386,27419,
391,19124,
393,49654,Skirt
394,48786,
398,33019,
404,58514,Top
405,33825,
406,25940,
411,59600,
412,42846,
413,35128,
416,43994,
424,3953,
426,28697,
429,42248,Top
430,48772,
434,18002,
435,44983,
436,38405,
437,53934,
439,25188,
441,53108,
442,21528,
443,59432,
444,32903,
450,18466,
451,26369,
453,59056,
455,45409,
457,58184,
463,59264,
464,14099,Top
467,51009,
468,29113,
470,26967,Top
471,27089,
472,48124,
474,51835,
479,57563,
480,33026,
481,41406,
482,11376,Top
483,25143,
484,44174,
486,20431,
491,7504,
496,17081,
499,55234,
509,3396,
511,55006,
514,27426,
515,2244,
517,33214,
518,10096,
521,20603,
522,58719,
525,45294,
526,52223,
527,34455,
532,27042,
535,28836,
538,55462,
539,11520,
542,40382,Top
544,57335,
545,52647,
546,20267,
549,44722,
551,39178,
552,32590,
554,25527,
555,57107,Top
557,33442,
558,58973,
559,52475,
564,20055,
565,50322,
568,47395,
569,46247,
570,7160,
571,22702,
574,43735,
575,13045,
576,27270,
578,55650,
579,31315,
580,6274,
583,48927,
584,51036,
585,26958,
590,30001,
594,55496,
595,56213,
597,40376,Top
598,24633,
599,10406,Dress
605,37224,
606,32564,
607,56021,
